h3_cell,count,total_risk,mean_risk,max_risk,dominant_type,dominant_vehicle,dominant_station,peak_hour_ist,pct_junction,n_validated,lat_centroid,lon_centroid,density_score,risk_tier,smoothed_risk,violations_per_day,cii_raw,cii,cii_tier
886014580bfffff,46,241,5.239130434782608,20,NO PARKING,SCOOTER,Kamakshipalya,4,0.0,45,12.98623283997848,77.51052317140433,0.5,LOW,210.4,0.323943661971831,11.527900261847176,23.7,MODERATE
886014580dfffff,3,24,8.0,12,NO PARKING,CAR,Peenya,10,0.0,3,12.993673165862305,77.52327397105209,0.0,LOW,253.7,0.02112676056338028,13.0600827517031,26.8,MODERATE
8860145811fffff,2,9,4.5,6,WRONG PARKING,PASSENGER AUTO,Kamakshipalya,4,0.0,2,12.986282938212788,77.49369027075385,0.0,LOW,92.3,0.014084507042253521,7.562310360680403,15.5,LOW
8860145813fffff,17,71,4.176470588235294,15,NO PARKING,SCOOTER,Kamakshipalya,11,0.0,17,12.98630757775131,77.48527501935207,0.1,LOW,49.9,0.11971830985915492,5.561205529564189,11.4,LOW
8860145817fffff,6,42,7.0,12,WRONG PARKING,PASSENGER AUTO,Kamakshipalya,11,0.0,6,12.993772501375725,77.48960570766802,0.1,LOW,40.1,0.04225352112676056,5.902954820913612,12.1,LOW
886014581bfffff,1,6,6.0,6,WRONG PARKING,CAR,Kamakshipalya,10,0.0,1,12.978818006233766,77.48935938871784,0.0,LOW,14.9,0.007042253521126761,3.5007397500731394,7.2,LOW
886014581dfffff,137,518,3.781021897810219,10,NO PARKING,SCOOTER,Kamakshipalya,10,0.0,137,12.986258025647183,77.50210632152104,1.0,LOW,134.0,0.9647887323943662,9.4947634212213,19.5,LOW
8860145825fffff,4,27,6.75,15,NO PARKING,MOTOR CYCLE,Peenya,8,0.0,4,13.02358686081071,77.5237701411305,0.0,LOW,440.9,0.028169014084507043,14.758745350440925,30.3,MODERATE
8860145827fffff,6,51,8.5,15,WRONG PARKING,CAR,Peenya,8,0.0,6,13.023610698140256,77.51535101207388,0.1,LOW,38.3,0.04225352112676056,6.324913277886907,13.0,LOW
8860145829fffff,153,1902,12.431372549019608,25,PARKING IN A MAIN ROAD,CAR,Rajajinagar,10,0.0,149,13.008630168151344,77.52352204369554,3.8,LOW,703.7,1.0774647887323943,19.557837605723947,40.2,MODERATE
886014582dfffff,211,1679,7.957345971563981,25,WRONG PARKING,CAR,Rajajinagar,4,0.0,211,13.016096356175884,77.52785584523718,3.4,LOW,752.1,1.4859154929577465,18.16899598046745,37.3,MODERATE
8860145837fffff,57,316,5.543859649122807,12,WRONG PARKING,CAR,Kamakshipalya,11,0.0,57,13.016192017227135,77.49418339002574,0.6,LOW,49.9,0.4014084507042254,6.220837210257223,12.8,LOW
886014583dfffff,16,90,5.625,12,WRONG PARKING,PASSENGER AUTO,Peenya,2,0.0,15,13.00867897565866,77.5066854492692,0.2,LOW,12.9,0.11267605633802817,3.1852781376687425,6.5,LOW
8860145841fffff,71,367,5.169014084507042,15,WRONG PARKING,SCOOTER,Vijayanagara,12,0.8309859154929577,66,12.978689635679572,77.5314445535825,0.7,LOW,919.3,0.5,17.579178334099552,36.1,MODERATE
8860145843fffff,3,19,6.333333333333333,10,WRONG PARKING,CAR,Vijayanagara,12,0.0,3,12.97871585597339,77.52302592319649,0.0,LOW,170.3,0.02112676056338028,11.117451693345036,22.8,MODERATE
8860145845fffff,245,1165,4.755102040816326,12,WRONG PARKING,CAR,Vijayanagara,10,0.9959183673469388,245,12.98615564359418,77.53577851325464,2.4,LOW,503.3,1.7253521126760563,15.292478397302,31.4,MODERATE
8860145847fffff,42,214,5.095238095238095,15,NO PARKING,SCOOTER,Kamakshipalya,12,0.0,40,12.986181649027918,77.5273592675209,0.4,LOW,308.3,0.29577464788732394,12.690529726330286,26.1,MODERATE
8860145849fffff,840,3549,4.225,15,WRONG PARKING,SCOOTER,Vijayanagara,10,1.0,805,12.97119712613916,77.53552982919537,7.2,LOW,2693.1,5.915492957746479,22.453823295858236,46.1,HIGH
886014584bfffff,9,48,5.333333333333333,9,WRONG PARKING,CAR,Vijayanagara,2,0.5555555555555556,9,12.971223834528372,77.52711101587661,0.1,LOW,730.7,0.06338028169014084,16.461356069154792,33.8,MODERATE
886014584dfffff,217,1073,4.944700460829493,15,WRONG PARKING,CAR,Magadi Road,10,0.9585253456221198,205,12.978663142142524,77.53986398217545,2.2,LOW,2381.9,1.528169014084507,20.74938517868964,42.6,MODERATE
8860145851fffff,123,835,6.788617886178862,20,NO PARKING,CAR,Jnanabharathi,3,0.0,115,12.971276432143616,77.51027578437949,1.7,LOW,445.6,0.8661971830985915,15.168750953527008,31.2,MODERATE
8860145853fffff,10,51,5.1,12,WRONG PARKING,SCOOTER,Jnanabharathi,11,0.0,10,12.97130232152126,77.50185936670057,0.1,LOW,161.9,0.07042253521126761,10.495468717348603,21.6,MODERATE
8860145855fffff,27,175,6.481481481481482,12,PARKING IN A MAIN ROAD,CAR,Jnanabharathi,10,0.0,22,12.978741803099831,77.51460809126733,0.3,LOW,238.0,0.19014084507042253,12.371913025576251,25.4,MODERATE
8860145857fffff,4,27,6.75,9,NO PARKING,CAR,Jnanabharathi,7,0.0,4,12.978767477134769,77.50619105804483,0.0,LOW,263.9,0.028169014084507043,12.651920424624901,26.0,MODERATE
8860145859fffff,308,1835,5.957792207792208,25,NO PARKING,CAR,Jnanabharathi,12,0.0,290,12.963784890995548,77.51436050048355,3.7,LOW,653.7,2.1690140845070425,17.078615691993885,35.1,MODERATE
886014585bfffff,28,196,7.0,20,WRONG PARKING,CAR,Jnanabharathi,4,0.0,25,12.963811268636016,77.50594389947851,0.4,LOW,421.9,0.19718309859154928,14.688962260208134,30.2,MODERATE
8860145861fffff,8,45,5.625,6,WRONG PARKING,CAR,Vijayanagara,10,0.0,7,13.001113854397865,77.536027222166,0.1,LOW,676.0,0.056338028169014086,16.189449157855144,33.3,MODERATE
8860145863fffff,92,1169,12.706521739130435,25,PARKING IN A MAIN ROAD,CAR,Rajajinagar,11,0.0,82,13.00113915692046,77.52760754397319,2.4,LOW,473.7,0.647887323943662,17.774998046594625,36.5,MODERATE
8860145865fffff,180,870,4.833333333333333,20,WRONG PARKING,SCOOTER,Rajajinagar,6,0.0,174,13.008580265964849,77.54036183251075,1.8,LOW,1122.6,1.267605633802817,18.464114459258024,37.9,MODERATE
8860145867fffff,16,176,11.0,25,WRONG PARKING,LGV,Rajajinagar,3,0.0,16,13.008605353931047,77.53194153892952,0.4,LOW,879.3,0.11267605633802817,19.45990721778744,40.0,MODERATE
8860145869fffff,91,401,4.406593406593407,12,WRONG PARKING,SCOOTER,Vijayanagara,10,1.0,91,12.993621857898091,77.54011289490512,0.8,LOW,1315.9,0.6408450704225352,18.754880435316764,38.5,MODERATE
886014586dfffff,418,2071,4.954545454545454,20,WRONG PARKING,CAR,Vijayanagara,9,1.0,405,13.001088278217017,77.54444769854591,4.2,LOW,3708.0,2.943661971830986,22.03168653138144,45.3,HIGH
88601458c5fffff,38,221,5.815789473684211,20,WRONG PARKING,CAR,Kamakshipalya,11,0.0,37,12.986331944338778,77.47686056756481,0.4,LOW,43.4,0.2676056338028169,5.7271265889888765,11.8,LOW
88601458c7fffff,3,12,4.0,6,WRONG PARKING,SCOOTER,Kamakshipalya,4,0.0,3,12.986356038051255,77.46844691564104,0.0,LOW,33.3,0.02112676056338028,4.160379487608141,8.5,LOW
88601458e5fffff,9,36,4.0,12,WRONG PARKING,SCOOTER,Kamakshipalya,12,0.0,9,13.008750135728656,77.4814365514788,0.1,LOW,32.6,0.06338028169014084,4.147607305554395,8.5,LOW
88601458edfffff,35,159,4.542857142857143,12,WRONG PARKING,SCOOTER,Kamakshipalya,11,0.0,35,13.001261567321468,77.4855211345625,0.3,LOW,33.9,0.24647887323943662,4.571520756587,9.4,LOW
8860145901fffff,58,486,8.379310344827585,25,WRONG PARKING,CAR,Jalahalli,11,0.0,58,13.045963158127718,77.5451952722818,1.0,LOW,178.7,0.4084507042253521,12.328160799443133,25.3,MODERATE
8860145903fffff,1,15,15.0,15,PARKING IN A MAIN ROAD,OTHERS,Jalahalli,7,0.0,1,13.045986626598152,77.53677349804973,0.0,LOW,117.1,0.007042253521126761,12.857416307936642,26.4,MODERATE
8860145905fffff,109,547,5.018348623853211,12,NO PARKING,CAR,Jalahalli,9,0.0,106,13.053430369206774,77.5495311843226,1.1,LOW,210.1,0.7676056338028169,11.572541940451135,23.8,MODERATE
8860145909fffff,2,18,9.0,12,NO PARKING,CAR,Jalahalli,2,0.0,1,13.03847219401127,77.54928173934807,0.0,LOW,299.1,0.014084507042253521,14.05073766038367,28.9,MODERATE
886014590dfffff,21,185,8.80952380952381,15,WRONG PARKING,CAR,Jalahalli,2,0.0,20,13.045939415168512,77.55361784466103,0.4,LOW,265.3,0.14788732394366197,13.553290862882537,27.8,MODERATE
8860145911fffff,13,145,11.153846153846152,15,WRONG PARKING,PRIVATE BUS,Peenya,4,0.0,13,13.03854324181081,77.52401826336072,0.3,LOW,328.3,0.09154929577464789,15.299345123468498,31.4,MODERATE
8860145913fffff,223,1615,7.242152466367713,25,NO PARKING,CAR,Peenya,2,0.0,183,13.038566375964486,77.51559870184012,3.3,LOW,353.6,1.5704225352112675,14.533932077782929,29.9,MODERATE
8860145915fffff,3,60,20.0,20,PARKING IN A MAIN ROAD,LGV,Jalahalli,8,0.0,3,13.046009820656217,77.52835252221519,0.1,LOW,163.0,0.02112676056338028,16.49509758849835,33.9,MODERATE
8860145917fffff,33,170,5.151515151515151,15,NO PARKING,CAR,Jalahalli,0,0.0,31,13.046032740378278,77.51993234502841,0.3,LOW,411.1,0.2323943661971831,13.815284875334193,28.4,MODERATE
8860145919fffff,6,51,8.5,15,WRONG PARKING,CAR,Yeshwanthpura,3,0.0,6,13.031053244764326,77.5281041713166,0.1,LOW,682.7,0.04225352112676056,17.482183307560497,35.9,MODERATE
886014591bfffff,16,111,6.9375,15,WRONG PARKING,CAR,Peenya,11,0.0,16,13.031076867514042,77.51968442665098,0.2,LOW,293.1,0.11267605633802817,13.116806327579722,26.9,MODERATE
886014591dfffff,25,146,5.84,12,NO PARKING,CAR,Jalahalli,9,0.0,24,13.038519833484957,77.532438623619,0.3,LOW,507.0,0.176056338028169,15.136392861620767,31.1,MODERATE
8860145925fffff,3,15,5.0,6,WRONG PARKING,CAR,Yelahanka,12,0.0,3,13.075855835485395,77.55411721729631,0.0,LOW,44.4,0.02112676056338028,5.3615664312283196,11.0,LOW
886014592bfffff,45,253,5.622222222222222,12,NO PARKING,CAR,Jalahalli,7,0.0,44,13.060920824504212,77.54544451334426,0.5,LOW,114.3,0.31690140845070425,9.20057526829291,18.9,LOW
886014592dfffff,7,36,5.142857142857143,9,NO PARKING,CAR,Yelahanka,13,0.0,7,13.068365401451866,77.55820427482367,0.1,LOW,19.7,0.04929577464788732,3.6495614637379172,7.5,LOW
8860145933fffff,2,12,6.0,6,NO PARKING,PASSENGER AUTO,Chikkabanavara,11,0.0,2,13.060988298562108,77.52018028818462,0.0,LOW,82.7,0.014084507042253521,7.746880093618089,15.9,LOW
8860145935fffff,17,78,4.588235294117647,12,WRONG PARKING,MOTOR CYCLE,Jalahalli,12,0.0,17,13.068433058103404,77.53293580768064,0.2,LOW,11.1,0.11971830985915492,2.5508372279408693,5.2,LOW
8860145939fffff,22,113,5.136363636363637,15,WRONG PARKING,SCOOTER,Jalahalli,11,0.0,21,13.053476603675811,77.53268720322644,0.2,LOW,97.1,0.15492957746478872,8.051235386421578,16.5,LOW
886014593bfffff,164,492,3.0,3,NO PARKING,SCOOTER,Jalahalli,10,0.0,120,13.053499309122332,77.52426641038987,1.0,LOW,131.7,1.1549295774647887,9.139716638107577,18.8,LOW
8860145941fffff,83,502,6.048192771084337,12,WRONG PARKING,CAR,Yeshwanthpura,13,0.0,82,13.03095601215545,77.56179113325211,1.0,LOW,429.7,0.5845070422535211,14.55218971762001,29.9,MODERATE
8860145943fffff,15,102,6.8,12,WRONG PARKING,SCOOTER,Yeshwanthpura,5,0.0,12,13.030980731701622,77.55336819577803,0.2,LOW,386.7,0.1056338028169014,14.12723868433151,29.0,MODERATE
8860145945fffff,22,142,6.454545454545454,10,WRONG PARKING,CAR,Sadashivanagar,11,0.0,20,13.03842345693307,77.5661280470242,0.3,LOW,396.4,0.15492957746478872,14.0977959475222,29.0,MODERATE
8860145947fffff,107,621,5.803738317757009,25,WRONG PARKING,CAR,Yeshwanthpura,3,0.0,103,13.03844796271087,77.55770449431807,1.3,LOW,224.3,0.7535211267605634,12.148126329735812,25.0,MODERATE
8860145949fffff,32,210,6.5625,12,WRONG PARKING,CAR,Yeshwanthpura,6,0.0,32,13.023463563823944,77.56587776142167,0.4,LOW,543.6,0.22535211267605634,15.74184707652443,32.3,MODERATE
886014594bfffff,73,392,5.36986301369863,12,WRONG PARKING,SCOOTER,Yeshwanthpura,4,0.0,70,13.023488771520409,77.55745464153019,0.8,LOW,1359.0,0.5140845070422535,19.208178414824545,39.5,MODERATE
886014594dfffff,221,1039,4.701357466063349,20,WRONG PARKING,CAR,Sadashivanagar,11,0.0,220,13.03093101821963,77.57021486830193,2.1,LOW,514.6,1.556338028169014,15.322069295615796,31.5,MODERATE
8860145951fffff,43,282,6.558139534883721,15,NO PARKING,CAR,Yeshwanthpura,5,0.0,41,13.02353836431236,77.54061079499611,0.6,LOW,915.7,0.3028169014084507,18.026281684309154,37.0,MODERATE
8860145953fffff,124,1167,9.411290322580646,25,WRONG PARKING,CAR,Rajajinagar,10,0.0,121,13.023562749560153,77.53219006885459,2.4,LOW,950.3,0.8732394366197183,19.514405375490234,40.1,MODERATE
8860145955fffff,163,682,4.184049079754601,20,NO PARKING,MOTOR CYCLE,Yeshwanthpura,10,0.0,159,13.031005176934364,77.54494605613041,1.4,LOW,658.0,1.147887323943662,15.990341327057942,32.9,MODERATE
8860145957fffff,434,3132,7.216589861751152,25,WRONG PARKING,CAR,Yeshwanthpura,1,0.0,408,13.031029347929858,77.53652471455982,6.3,LOW,780.0,3.056338028169014,18.589883322140174,38.2,MODERATE
8860145959fffff,52,443,8.51923076923077,20,WRONG PARKING,CAR,Rajajinagar,3,0.0,45,13.01604688295408,77.54469686488636,0.9,LOW,1897.4,0.36619718309859156,21.09126316906231,43.3,MODERATE
886014595bfffff,39,314,8.051282051282051,25,WRONG PARKING,CAR,Rajajinagar,7,0.0,39,13.01607175651979,77.53627595593315,0.6,LOW,704.4,0.2746478873239437,17.514348236569994,36.0,MODERATE
886014595dfffff,37,390,10.54054054054054,20,PARKING IN A MAIN ROAD,CAR,Yeshwanthpura,3,0.0,36,13.02351370499118,77.5490323193048,0.8,LOW,1333.6,0.2605633802816901,21.14536738435263,43.4,MODERATE
8860145961fffff,1,15,15.0,15,WRONG PARKING,HGV,Kodigehalli,5,0.0,1,13.053383036127,77.56637835764624,0.0,LOW,102.4,0.007042253521126761,12.174923726334267,25.0,MODERATE
8860145965fffff,11,86,7.818181818181818,20,WRONG PARKING,CAR,Kodigehalli,9,0.0,10,13.060850877784334,77.57071592245822,0.2,LOW,109.6,0.07746478873239436,9.716122144249365,20.0,MODERATE
8860145967fffff,3,18,6.0,6,NO PARKING,CAR,Yelahanka,12,0.0,3,13.060874468225268,77.56229132162082,0.0,LOW,27.3,0.02112676056338028,4.4559284490324735,9.2,LOW
8860145969fffff,49,364,7.428571428571429,15,WRONG PARKING,CAR,Kodigehalli,2,0.0,47,13.045891105478589,77.57046538285834,0.7,LOW,229.0,0.34507042253521125,12.694026473380342,26.1,MODERATE
886014596dfffff,28,234,8.357142857142858,15,WRONG PARKING,CAR,Kodigehalli,2,0.0,28,13.05335895741716,77.57480314076648,0.5,LOW,259.7,0.19718309859154928,13.33270961078041,27.4,MODERATE
8860145985fffff,17,189,11.117647058823527,25,WRONG PARKING,CAR,No Police Station,12,0.0,16,13.05358738743973,77.49059122962177,0.4,LOW,108.4,0.11971830985915492,10.99346246794785,22.6,MODERATE
8860145987fffff,6,35,5.833333333333333,9,WRONG PARKING,CAR,No Police Station,3,0.0,6,13.05360872153461,77.48217443332275,0.1,LOW,39.3,0.04225352112676056,5.347267382733593,11.0,LOW
886014598dfffff,63,535,8.492063492063492,25,WRONG PARKING,CAR,Chikkabanavara,11,0.0,58,13.046099854292816,77.4946766078543,1.1,LOW,198.6,0.44366197183098594,12.698919265676487,26.1,MODERATE
88601459b1fffff,24,197,8.208333333333334,20,WRONG PARKING,LGV,No Police Station,3,0.0,24,13.061115836958072,77.46967341674235,0.4,LOW,52.6,0.16901408450704225,7.445894456750393,15.3,LOW
88601459b3fffff,24,120,5.0,12,WRONG PARKING,SCOOTER,No Police Station,5,0.0,20,13.061136133732203,77.46125840500828,0.2,LOW,45.3,0.16901408450704225,5.5394157228235885,11.4,LOW
88601459b9fffff,4,24,6.0,6,WRONG PARKING,CAR,No Police Station,11,0.0,3,13.053629781588896,77.47375843707968,0.0,LOW,40.4,0.028169014084507043,5.556668199105613,11.4,LOW
88601459bdfffff,2,27,13.5,15,WRONG PARKING,LGV,No Police Station,12,0.0,2,13.061095266133108,77.47808922894109,0.0,LOW,40.4,0.014084507042253521,8.551034396288712,17.6,LOW
88601459c1fffff,5,44,8.8,12,NO PARKING,PASSENGER AUTO,Peenya,2,0.0,3,13.031123291064446,77.50284733405225,0.1,LOW,26.3,0.035211267605633804,5.477704685083797,11.3,LOW
88601459c5fffff,8,61,7.625,25,WRONG PARKING,SCOOTER,Peenya,2,0.0,8,13.038589236022318,77.50717993930718,0.1,LOW,394.1,0.056338028169014086,14.496867555481257,29.8,MODERATE
88601459c9fffff,4,27,6.75,12,WRONG PARKING,CAR,Peenya,10,0.0,3,13.02363426162505,77.50693268193464,0.0,LOW,24.9,0.028169014084507043,4.551030216909767,9.3,LOW
88601459cdfffff,4,52,13.0,20,PARKING IN A MAIN ROAD,SCOOTER,Peenya,9,0.0,2,13.031100216255316,77.51126548081291,0.1,LOW,280.1,0.028169014084507043,15.389309148660509,31.6,MODERATE
88601459d9fffff,6,33,5.5,6,WRONG PARKING,CAR,Kamakshipalya,11,0.0,6,13.016215248477767,77.48576727436439,0.1,LOW,55.0,0.04225352112676056,6.445388055334978,13.2,LOW
88601459e1fffff,65,345,5.307692307692308,9,NO PARKING,CAR,Chikkabanavara,13,0.0,65,13.053543896821736,77.50742722139053,0.7,LOW,210.4,0.45774647887323944,11.608846137771621,23.8,MODERATE
88601459e7fffff,12,66,5.5,9,NO PARKING,CAR,Chikkabanavara,10,0.0,10,13.0610319085864,77.50334146583478,0.1,LOW,62.1,0.08450704225352113,6.892556526100222,14.2,LOW
88601459e9fffff,58,321,5.5344827586206895,25,WRONG PARKING,CAR,Chikkabanavara,6,0.0,53,13.046055385840756,77.51151296673947,0.6,LOW,464.7,0.4084507042253521,14.662039853981149,30.1,MODERATE
88601459ebfffff,153,666,4.352941176470588,15,WRONG PARKING,SCOOTER,Peenya,4,0.0,151,13.046077757120113,77.50309438759821,1.3,LOW,275.4,1.0774647887323943,12.290856748099,25.3,MODERATE
88601459edfffff,11,75,6.818181818181818,12,WRONG PARKING,SCOOTER,Chikkabanavara,3,0.0,11,13.053521740145476,77.51584641636123,0.1,LOW,202.1,0.07746478873239436,11.927398108641057,24.5,MODERATE
8860145a01fffff,1,20,20.0,20,PARKING IN A MAIN ROAD,LORRY/GOODS VEHICLE,Banashankari,8,0.0,1,12.941250792313223,77.54345128214574,0.0,LOW,370.6,0.007042253521126761,19.189760521586493,39.4,MODERATE
8860145a03fffff,19,158,8.31578947368421,20,WRONG PARKING,MOTOR CYCLE,Banashankari,10,0.1578947368421052,18,12.941279179397798,77.5350325356182,0.3,LOW,680.9,0.13380281690140844,17.385771634335136,35.7,MODERATE
8860145a07fffff,270,1750,6.481481481481482,25,NO PARKING,SCOOTER,Byatarayanapura,6,0.9296296296296296,264,12.948744795687809,77.53936623132917,3.5,LOW,884.3,1.9014084507042253,18.457013539639863,37.9,MODERATE
8860145a09fffff,2,15,7.5,12,NO PARKING,SCOOTER,Banashankari,11,1.0,2,12.933756294262166,77.5475363223927,0.0,LOW,166.1,0.014084507042253521,11.52195427759435,23.7,MODERATE
8860145a0bfffff,175,576,3.291428571428572,12,NO PARKING,SCOOTER,Banashankari,2,0.0,175,12.9337851690507,77.53911739320513,1.2,LOW,120.6,1.232394366197183,8.87184371510965,18.2,LOW
8860145a0dfffff,13,75,5.769230769230769,10,WRONG PARKING,CAR,Banashankari,12,0.0,13,12.941222132500585,77.55187082632978,0.1,LOW,41.6,0.09154929577464789,5.608406981491782,11.5,LOW
8860145a11fffff,51,262,5.137254901960785,25,WRONG PARKING,SCOOTER,Byatarayanapura,10,0.0,51,12.93384210100948,77.52228192831954,0.5,LOW,326.3,0.3591549295774648,12.970077285731026,26.6,MODERATE
8860145a13fffff,134,871,6.5,25,NO PARKING,CAR,Byatarayanapura,11,0.0,134,12.933870158330654,77.51386539312138,1.8,LOW,176.4,0.9436619718309859,11.671826806536549,24.0,MODERATE
8860145a15fffff,143,986,6.895104895104895,25,WRONG PARKING,SCOOTER,Byatarayanapura,10,0.2517482517482518,142,12.941307293829814,77.52661458699727,2.0,LOW,575.6,1.0070422535211268,16.424953814940025,33.7,MODERATE
8860145a17fffff,6,42,7.0,15,WRONG PARKING,SCOOTER,Byatarayanapura,14,0.0,6,12.941335135684769,77.51819743653286,0.1,LOW,495.1,0.04225352112676056,15.428177372842395,31.7,MODERATE
8860145a1bfffff,11,54,4.909090909090909,6,NO PARKING,CAR,Kengeri,6,0.0,11,12.926377116885249,77.51794969150302,0.1,LOW,177.7,0.07746478873239436,10.778005068446829,22.1,MODERATE
8860145a1dfffff,7,69,9.857142857142858,15,WRONG PARKING,CAR,Banashankari,4,0.0,7,12.933813771274654,77.53069926176408,0.1,LOW,293.9,0.04929577464788732,14.318658538769709,29.4,MODERATE
8860145a21fffff,122,648,5.311475409836065,12,NO PARKING,SCOOTER,Magadi Road,11,0.0163934426229508,109,12.963676651272364,77.54803488836966,1.3,LOW,3237.6,0.8591549295774648,21.162614153569564,43.5,MODERATE
8860145a23fffff,1241,5465,4.403706688154714,20,WRONG PARKING,SCOOTER,Vijayanagara,11,0.879129734085415,1234,12.9637041207288,77.53961509431804,11.1,LOW,3009.6,8.73943661971831,23.803251388431107,48.9,HIGH
8860145a25fffff,1185,3890,3.282700421940928,15,NO PARKING,SCOOTER,Magadi Road,11,0.99915611814346,1089,12.97114288981873,77.55236984972315,7.9,LOW,3157.7,8.345070422535212,23.28612317458571,47.8,HIGH
8860145a27fffff,2168,7218,3.329335793357933,15,WRONG PARKING,SCOOTER,Vijayanagara,4,0.9441881918819188,2061,12.971170144594524,77.54394944056095,14.6,LOW,3548.7,15.267605633802816,26.251832950686257,53.9,HIGH
8860145a29fffff,26,212,8.153846153846153,25,NO PARKING,CAR,Chamarajpet,2,1.0,26,12.956182662498325,77.55212032556005,0.4,LOW,899.1,0.18309859154929578,18.49798264593266,38.0,MODERATE
8860145a2bfffff,517,2972,5.748549323017408,25,WRONG PARKING,SCOOTER,Byatarayanapura,1,1.0,505,12.956210619770667,77.54370034890898,6.0,LOW,1590.0,3.640845070422535,20.936766659453127,43.0,MODERATE
8860145a2dfffff,398,2258,5.673366834170854,20,NO PARKING,SCOOTER,Magadi Road,2,0.2613065326633166,361,12.963648908672718,77.5564554800577,4.6,LOW,1279.0,2.8028169014084505,19.9483369957154,41.0,MODERATE
