alert_id,h3_cell,junction_name,police_station,alert_level,assigned_unit,status,created_at,scita_payload,scita_sync_status,escalated
11,8861892ecdfffff,"BTP148 - 17th Main, Doopanahalli Bus Stop",Jeevanbheemanagar,CRITICAL,FKDEV00066,PENDING,2026-06-20T11:07:24.132736+00:00,"{""alert_id"": 11, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""8861892ecdfffff"", ""junction_name"": ""BTP148 - 17th Main, Doopanahalli Bus Stop"", ""police_station"": ""Jeevanbheemanagar"", ""location"": {""lat"": 12.96906398412296, ""lon"": 77.6441914155958}, ""violation_summary"": {""dominant_type"": ""NO PARKING"", ""dominant_vehicle"": ""CAR"", ""n_violations_historical"": 763, ""total_risk_score"": 5586}, ""congestion_impact"": {""cii_score"": 45.6, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 26141250.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 23.0, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00066"", ""generated_at_utc"": ""2026-06-20T11:07:24.132736+00:00"", ""data_sent_to_scita"": true}",SENT,0
12,886189252bfffff,"BTP148 - 17th Main, Doopanahalli Bus Stop",Jeevanbheemanagar,CRITICAL,FKDEV00085,PENDING,2026-06-20T11:07:24.132736+00:00,"{""alert_id"": 12, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""886189252bfffff"", ""junction_name"": ""BTP148 - 17th Main, Doopanahalli Bus Stop"", ""police_station"": ""Jeevanbheemanagar"", ""location"": {""lat"": 12.96906398412296, ""lon"": 77.6441914155958}, ""violation_summary"": {""dominant_type"": ""NO PARKING"", ""dominant_vehicle"": ""CAR"", ""n_violations_historical"": 763, ""total_risk_score"": 5586}, ""congestion_impact"": {""cii_score"": 45.6, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 26141250.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 19.3, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00085"", ""generated_at_utc"": ""2026-06-20T11:07:24.132736+00:00"", ""data_sent_to_scita"": true}",SENT,0
13,8861892537fffff,"BTP148 - 17th Main, Doopanahalli Bus Stop",Jeevanbheemanagar,CRITICAL,FKDEV00185,PENDING,2026-06-20T11:07:24.132736+00:00,"{""alert_id"": 13, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""8861892537fffff"", ""junction_name"": ""BTP148 - 17th Main, Doopanahalli Bus Stop"", ""police_station"": ""Jeevanbheemanagar"", ""location"": {""lat"": 12.96906398412296, ""lon"": 77.6441914155958}, ""violation_summary"": {""dominant_type"": ""NO PARKING"", ""dominant_vehicle"": ""CAR"", ""n_violations_historical"": 763, ""total_risk_score"": 5586}, ""congestion_impact"": {""cii_score"": 45.6, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 26141250.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 22.8, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00185"", ""generated_at_utc"": ""2026-06-20T11:07:24.132736+00:00"", ""data_sent_to_scita"": true}",SENT,0
14,8861892523fffff,"BTP148 - 17th Main, Doopanahalli Bus Stop",Jeevanbheemanagar,CRITICAL,FKDEV00220,PENDING,2026-06-20T11:07:24.132736+00:00,"{""alert_id"": 14, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""8861892523fffff"", ""junction_name"": ""BTP148 - 17th Main, Doopanahalli Bus Stop"", ""police_station"": ""Jeevanbheemanagar"", ""location"": {""lat"": 12.96906398412296, ""lon"": 77.6441914155958}, ""violation_summary"": {""dominant_type"": ""NO PARKING"", ""dominant_vehicle"": ""CAR"", ""n_violations_historical"": 763, ""total_risk_score"": 5586}, ""congestion_impact"": {""cii_score"": 45.6, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 26141250.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 23.6, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00220"", ""generated_at_utc"": ""2026-06-20T11:07:24.132736+00:00"", ""data_sent_to_scita"": true}",SENT,0
15,886189253bfffff,"BTP148 - 17th Main, Doopanahalli Bus Stop",Jeevanbheemanagar,CRITICAL,FKDEV00365,PENDING,2026-06-20T11:07:24.132736+00:00,"{""alert_id"": 15, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""886189253bfffff"", ""junction_name"": ""BTP148 - 17th Main, Doopanahalli Bus Stop"", ""police_station"": ""Jeevanbheemanagar"", ""location"": {""lat"": 12.96906398412296, ""lon"": 77.6441914155958}, ""violation_summary"": {""dominant_type"": ""NO PARKING"", ""dominant_vehicle"": ""CAR"", ""n_violations_historical"": 763, ""total_risk_score"": 5586}, ""congestion_impact"": {""cii_score"": 45.6, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 26141250.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 33.5, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00365"", ""generated_at_utc"": ""2026-06-20T11:07:24.132736+00:00"", ""data_sent_to_scita"": true}",SENT,0
16,8860145b69fffff,BTP032 - Windsor Circle,Shivajinagar,CRITICAL,FKDEV00089,PENDING,2026-06-20T11:07:24.132736+00:00,"{""alert_id"": 16, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""8860145b69fffff"", ""junction_name"": ""BTP032 - Windsor Circle"", ""police_station"": ""Shivajinagar"", ""location"": {""lat"": 12.989377061570249, ""lon"": 77.5993562090909}, ""violation_summary"": {""dominant_type"": ""WRONG PARKING"", ""dominant_vehicle"": ""CAR"", ""n_violations_historical"": 242, ""total_risk_score"": 1408}, ""congestion_impact"": {""cii_score"": 45.0, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 26361750.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 26.2, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00089"", ""generated_at_utc"": ""2026-06-20T11:07:24.132736+00:00"", ""data_sent_to_scita"": true}",SENT,0
17,886189253dfffff,"BTP148 - 17th Main, Doopanahalli Bus Stop",Jeevanbheemanagar,CRITICAL,FKDEV00398,PENDING,2026-06-20T11:07:24.132736+00:00,"{""alert_id"": 17, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""886189253dfffff"", ""junction_name"": ""BTP148 - 17th Main, Doopanahalli Bus Stop"", ""police_station"": ""Jeevanbheemanagar"", ""location"": {""lat"": 12.96906398412296, ""lon"": 77.6441914155958}, ""violation_summary"": {""dominant_type"": ""NO PARKING"", ""dominant_vehicle"": ""CAR"", ""n_violations_historical"": 763, ""total_risk_score"": 5586}, ""congestion_impact"": {""cii_score"": 45.6, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 26141250.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 25.1, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00398"", ""generated_at_utc"": ""2026-06-20T11:07:24.132736+00:00"", ""data_sent_to_scita"": true}",SENT,0
18,88618925a9fffff,"BTP099 - Cash Pharmacy, Residency Road",Ashok Nagar,CRITICAL,FKDEV00124,PENDING,2026-06-20T11:07:24.132736+00:00,"{""alert_id"": 18, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""88618925a9fffff"", ""junction_name"": ""BTP099 - Cash Pharmacy, Residency Road"", ""police_station"": ""Ashok Nagar"", ""location"": {""lat"": 12.967906273809524, ""lon"": 77.6010546892857}, ""violation_summary"": {""dominant_type"": ""NO PARKING"", ""dominant_vehicle"": ""CAR"", ""n_violations_historical"": 84, ""total_risk_score"": 731}, ""congestion_impact"": {""cii_score"": 47.4, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 5115000.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 18.8, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00124"", ""generated_at_utc"": ""2026-06-20T11:07:24.132736+00:00"", ""data_sent_to_scita"": true}",SENT,0
19,88618925a1fffff,"BTP099 - Cash Pharmacy, Residency Road",Ashok Nagar,CRITICAL,FKDEV00186,PENDING,2026-06-20T11:07:24.132736+00:00,"{""alert_id"": 19, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""88618925a1fffff"", ""junction_name"": ""BTP099 - Cash Pharmacy, Residency Road"", ""police_station"": ""Ashok Nagar"", ""location"": {""lat"": 12.967906273809524, ""lon"": 77.6010546892857}, ""violation_summary"": {""dominant_type"": ""NO PARKING"", ""dominant_vehicle"": ""CAR"", ""n_violations_historical"": 84, ""total_risk_score"": 731}, ""congestion_impact"": {""cii_score"": 47.4, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 5115000.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 31.5, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00186"", ""generated_at_utc"": ""2026-06-20T11:07:24.132736+00:00"", ""data_sent_to_scita"": true}",SENT,0
20,8860145b47fffff,BTP034 - LRDE Junction,High ground,CRITICAL,FKDEV00017,PENDING,2026-06-20T11:07:24.132736+00:00,"{""alert_id"": 20, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""8860145b47fffff"", ""junction_name"": ""BTP034 - LRDE Junction"", ""police_station"": ""High ground"", ""location"": {""lat"": 12.988894157466666, ""lon"": 77.59226813826666}, ""violation_summary"": {""dominant_type"": ""WRONG PARKING"", ""dominant_vehicle"": ""CAR"", ""n_violations_historical"": 75, ""total_risk_score"": 420}, ""congestion_impact"": {""cii_score"": 45.9, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 392250.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 32.4, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00017"", ""generated_at_utc"": ""2026-06-20T11:07:24.132736+00:00"", ""data_sent_to_scita"": true}",SENT,0
21,8860145b45fffff,BTP034 - LRDE Junction,High ground,CRITICAL,FKDEV00029,PENDING,2026-06-20T11:07:24.132736+00:00,"{""alert_id"": 21, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""8860145b45fffff"", ""junction_name"": ""BTP034 - LRDE Junction"", ""police_station"": ""High ground"", ""location"": {""lat"": 12.988894157466666, ""lon"": 77.59226813826666}, ""violation_summary"": {""dominant_type"": ""WRONG PARKING"", ""dominant_vehicle"": ""CAR"", ""n_violations_historical"": 75, ""total_risk_score"": 420}, ""congestion_impact"": {""cii_score"": 45.9, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 392250.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 25.7, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00029"", ""generated_at_utc"": ""2026-06-20T11:07:24.132736+00:00"", ""data_sent_to_scita"": true}",SENT,0
22,8860145b43fffff,BTP052 - CID Carlton House Junction,Cubbon Park,CRITICAL,FKDEV00007,PENDING,2026-06-20T11:07:24.132736+00:00,"{""alert_id"": 22, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""8860145b43fffff"", ""junction_name"": ""BTP052 - CID Carlton House Junction"", ""police_station"": ""Cubbon Park"", ""location"": {""lat"": 12.980978931111112, ""lon"": 77.58820718444444}, ""violation_summary"": {""dominant_type"": ""NO PARKING"", ""dominant_vehicle"": ""CAR"", ""n_violations_historical"": 45, ""total_risk_score"": 281}, ""congestion_impact"": {""cii_score"": 46.2, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 391312.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 96.6, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00007"", ""generated_at_utc"": ""2026-06-20T11:07:24.132736+00:00"", ""data_sent_to_scita"": true}",SENT,0
23,8860145b41fffff,BTP052 - CID Carlton House Junction,Cubbon Park,CRITICAL,FKDEV00048,PENDING,2026-06-20T11:07:24.132736+00:00,"{""alert_id"": 23, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""8860145b41fffff"", ""junction_name"": ""BTP052 - CID Carlton House Junction"", ""police_station"": ""Cubbon Park"", ""location"": {""lat"": 12.980978931111112, ""lon"": 77.58820718444444}, ""violation_summary"": {""dominant_type"": ""NO PARKING"", ""dominant_vehicle"": ""CAR"", ""n_violations_historical"": 45, ""total_risk_score"": 281}, ""congestion_impact"": {""cii_score"": 46.2, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 391312.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 35.3, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00048"", ""generated_at_utc"": ""2026-06-20T11:07:24.132736+00:00"", ""data_sent_to_scita"": true}",SENT,0
24,8860145b47fffff,BTP052 - CID Carlton House Junction,Cubbon Park,CRITICAL,FKDEV00142,PENDING,2026-06-20T11:07:24.132736+00:00,"{""alert_id"": 24, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""8860145b47fffff"", ""junction_name"": ""BTP052 - CID Carlton House Junction"", ""police_station"": ""Cubbon Park"", ""location"": {""lat"": 12.980978931111112, ""lon"": 77.58820718444444}, ""violation_summary"": {""dominant_type"": ""NO PARKING"", ""dominant_vehicle"": ""CAR"", ""n_violations_historical"": 45, ""total_risk_score"": 281}, ""congestion_impact"": {""cii_score"": 46.2, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 391312.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 32.4, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00142"", ""generated_at_utc"": ""2026-06-20T11:07:24.132736+00:00"", ""data_sent_to_scita"": true}",SENT,0
25,8860145b41fffff,BTP041 - Gopal Gowda Circle,Cubbon Park,CRITICAL,FKDEV00206,PENDING,2026-06-20T11:07:24.132736+00:00,"{""alert_id"": 25, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""8860145b41fffff"", ""junction_name"": ""BTP041 - Gopal Gowda Circle"", ""police_station"": ""Cubbon Park"", ""location"": {""lat"": 12.978585176027398, ""lon"": 77.59139627534246}, ""violation_summary"": {""dominant_type"": ""NO PARKING"", ""dominant_vehicle"": ""CAR"", ""n_violations_historical"": 146, ""total_risk_score"": 817}, ""congestion_impact"": {""cii_score"": 46.2, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 402188.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 35.3, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00206"", ""generated_at_utc"": ""2026-06-20T11:07:24.132736+00:00"", ""data_sent_to_scita"": true}",SENT,0
26,8860145b4dfffff,BTP063 - Siddalingaiah Circle,Cubbon Park,CRITICAL,FKDEV00239,PENDING,2026-06-20T11:07:24.132736+00:00,"{""alert_id"": 26, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""8860145b4dfffff"", ""junction_name"": ""BTP063 - Siddalingaiah Circle"", ""police_station"": ""Cubbon Park"", ""location"": {""lat"": 12.971384358333331, ""lon"": 77.59741369965278}, ""violation_summary"": {""dominant_type"": ""NO PARKING"", ""dominant_vehicle"": ""CAR"", ""n_violations_historical"": 288, ""total_risk_score"": 1700}, ""congestion_impact"": {""cii_score"": 45.6, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 2054250.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 55.5, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00239"", ""generated_at_utc"": ""2026-06-20T11:07:24.132736+00:00"", ""data_sent_to_scita"": true}",SENT,0
27,8860145b49fffff,BTP063 - Siddalingaiah Circle,Cubbon Park,CRITICAL,FKDEV00265,PENDING,2026-06-20T11:07:24.132736+00:00,"{""alert_id"": 27, ""source_system"": ""AI_PARKING_INTELLIGENCE_V1"", ""h3_cell"": ""8860145b49fffff"", ""junction_name"": ""BTP063 - Siddalingaiah Circle"", ""police_station"": ""Cubbon Park"", ""location"": {""lat"": 12.971384358333331, ""lon"": 77.59741369965278}, ""violation_summary"": {""dominant_type"": ""NO PARKING"", ""dominant_vehicle"": ""CAR"", ""n_violations_historical"": 288, ""total_risk_score"": 1700}, ""congestion_impact"": {""cii_score"": 45.6, ""cii_tier"": ""HIGH"", ""estimated_cost_inr_per_day"": 2054250.0}, ""forecast"": {""predicted_risk_for_tomorrow"": 29.1, ""trend"": ""RISING""}, ""alert_level"": ""CRITICAL"", ""assigned_unit"": ""FKDEV00265"", ""generated_at_utc"": ""2026-06-20T11:07:24.132736+00:00"", ""data_sent_to_scita"": true}",SENT,0
